iso3,year,gdppc
JPN,2005,33385.9179590327
JPN,2004,32783.1292835489
JPN,2003,32115.5810785373
JPN,2002,31746.2430105713
JPN,2001,31793.1269485489
JPN,2000,31779.3788459032
JOR,2024,4441.03974922351
JOR,2023,4373.38088482368
JOR,2022,4309.61432856804
JOR,2021,4266.3790298994
JOR,2020,4188.21240095719
JOR,2019,4313.80791426608
JOR,2018,4320.029787425
JOR,2017,4335.92512689541
JOR,2016,4326.17261571505
JOR,2015,4441.61896013754
JOR,2014,4703.39944986815
JOR,2013,5007.76162067161
JOR,2012,5135.0327939589
JOR,2011,5085.98005025386
JOR,2010,5066.49720027725
JOR,2009,5043.62638729303
JOR,2008,4902.38348073849
JOR,2007,4681.17006766931
JOR,2006,4596.56909353547
JOR,2005,4532.96248258538
JOR,2004,4296.62367370886
JOR,2003,4054.22612609768
JOR,2002,3979.40388653953
JOR,2001,3841.98511846743
JOR,2000,3725.49544709257
KAZ,2024,11872.7842626298
KAZ,2023,11453.3952725363
KAZ,2022,11058.3482413407
KAZ,2021,10873.3915275276
KAZ,2020,10565.0359816235
KAZ,2019,10989.6840718388
KAZ,2018,10670.2120148279
KAZ,2017,10404.2718646317
KAZ,2016,10151.423313302
KAZ,2015,10196.1226255982
KAZ,2014,10226.7100539683
KAZ,2013,9959.72586930534
KAZ,2012,9531.91477617058
KAZ,2011,9223.3021336315
KAZ,2010,8704.70655484556
KAZ,2009,8218.39912556048
KAZ,2008,8216.52181589585
KAZ,2007,8036.87599811505
KAZ,2006,7450.39687062615
KAZ,2005,6787.4115548789
KAZ,2004,6233.29439373307
KAZ,2003,5724.43199248054
KAZ,2002,5267.6990320263
KAZ,2001,4822.52862802669
KAZ,2000,4269.33016782791
KEN,2024,1858.87650030024
KEN,2023,1811.21651838425
KEN,2022,1747.53198804428
KEN,2021,1698.89578271444
KEN,2020,1609.33414078281
KEN,2019,1645.70961777862
KEN,2018,1596.69045914945
KEN,2017,1542.33773973372
KEN,2016,1517.97796057742
KEN,2015,1489.11959777284
KEN,2014,1450.59338202277
KEN,2013,1413.94142522583
KEN,2012,1396.30178709756
KEN,2011,1370.58000874482
KEN,2010,1340.16467408856
KEN,2009,1276.73503486074
KEN,2008,1273.77226103073
KEN,2007,1309.91092948216
KEN,2006,1263.54164666211
KEN,2005,1223.44738472019
KEN,2004,1191.25443604556
KEN,2003,1169.14433674051
KEN,2002,1171.4262517349
KEN,2001,1202.29348759987
KEN,2000,1195.41296851656
KIR,2024,2052.81298774256
KIR,2023,1990.14605922104
KIR,2022,1960.15475844976
KIR,2021,1895.61362957222
KIR,2020,1779.62973024917
KIR,2019,1834.42627824847
KIR,2018,1802.34850714657
KIR,2017,1768.87874841933
KIR,2016,1731.43702001694
KIR,2015,1639.85274740652
KIR,2014,1492.8508200481
KIR,2013,1493.49148676402
KIR,2012,1405.5029344967
KIR,2011,1348.0602369873
KIR,2010,1328.78776438805
KIR,2009,1340.27605600221
KIR,2008,1361.83599775608
KIR,2007,1433.35747805619
KIR,2006,1419.38723031361
KIR,2005,1368.99728765793
KIR,2004,1378.9583696722
KIR,2003,1415.54577869304
KIR,2002,1467.99273241655
KIR,2001,1477.95177621217
KIR,2000,1555.58204812097
PRK,2024,
PRK,2023,
PRK,2022,
PRK,2021,
PRK,2020,
PRK,2019,
PRK,2018,
PRK,2017,
PRK,2016,
PRK,2015,
PRK,2014,
PRK,2013,
PRK,2012,
PRK,2011,
PRK,2010,
PRK,2009,
PRK,2008,
PRK,2007,
PRK,2006,
PRK,2005,
PRK,2004,
PRK,2003,
PRK,2002,
PRK,2001,
PRK,2000,
KOR,2024,37048.4264001496
KOR,2023,36347.7036392553
KOR,2022,35809.0138105144
KOR,2021,34792.9397214598
KOR,2020,33215.9298928108
KOR,2019,33496.3113815643
KOR,2018,32852.8887488942
KOR,2017,31979.9027302467
KOR,2016,31005.4072876388
KOR,2015,30171.7906545222
KOR,2014,29470.6732991655
KOR,2013,28732.711152033
KOR,2012,27944.0564190045
KOR,2011,27393.455357272
KOR,2010,26623.0487122927
KOR,2009,25009.9148311999
KOR,2008,24934.5396367691
KOR,2007,24391.7651013448
KOR,2006,23162.1860111297
KOR,2005,22123.7613066851
KOR,2004,21244.8136800528
KOR,2003,20278.0406421178
KOR,2002,19775.3800655139
KOR,2001,18460.4288193829
KOR,2000,17763.1353417297
XKX,2024,5631.67958854422
XKX,2023,5102.74674921908
XKX,2022,4666.38918595784
XKX,2021,4429.87389440857
XKX,2020,3990.94425586648
XKX,2019,4219.06495675744
XKX,2018,4009.11952439378
XKX,2017,3890.17624537261
XKX,2016,3739.17386677497
XKX,2015,3520.62685324451
XKX,2014,3279.02345017707
XKX,2013,3163.4704088827
XKX,2012,3021.35000691677
XKX,2011,2995.64811314457
XKX,2010,2822.63227046091
XKX,2009,2680.85995592712
XKX,2008,2543.5980687089
XKX,2007,
XKX,2006,
XKX,2005,
XKX,2004,
XKX,2003,
XKX,2002,
XKX,2001,
XKX,2000,
KWT,2024,24140.3257964584
KWT,2023,24722.8143701857
KWT,2022,26579.8321646876
KWT,2021,26203.2617257856
KWT,2020,25541.5378987908
KWT,2019,26580.2264741607
KWT,2018,26706.0191660864
KWT,2017,27048.3706935958
KWT,2016,29454.4426388829
KWT,2015,29882.2126495698
KWT,2014,31073.1537300624
KWT,2013,32311.1800008536
KWT,2012,33578.3309651964
KWT,2011,33545.346271839
KWT,2010,32568.4981754501
KWT,2009,35124.0853941026
KWT,2008,39852.5129115699
KWT,2007,41113.8693942735
KWT,2006,41137.969927672
KWT,2005,40451.2551656974
KWT,2004,37918.5405829238
KWT,2003,35169.6335737863
KWT,2002,30702.2162068121
KWT,2001,30573.4284224199
KWT,2000,31341.9780819419
KGZ,2024,1423.58624650541
KGZ,2023,1298.25724482211
KGZ,2022,1212.17812721768
KGZ,2021,1132.5546781282
KGZ,2020,1093.32856461422
KGZ,2019,1201.87701429721
KGZ,2018,1175.0712778747
KGZ,2017,1157.18275758067
KGZ,2016,1128.3161612818
KGZ,2015,1105.65193844261
KGZ,2014,1088.58214229508
KGZ,2013,1069.78404438716
KGZ,2012,985.8472865972
KGZ,2011,1005.4831781815
KGZ,2010,962.764789828724
KGZ,2009,981.220904665529
KGZ,2008,966.409971184817
KGZ,2007,900.02796489729
KGZ,2006,837.138026647346
KGZ,2005,820.709519437592
KGZ,2004,831.482103944381
KGZ,2003,786.350474964134
KGZ,2002,742.44300111832
KGZ,2001,749.423779561565
KGZ,2000,718.342832397662
LAO,2024,2721.07810663122
LAO,2023,2648.88726608035
LAO,2022,2589.05015191628
LAO,2021,2556.58912640405
LAO,2020,2529.74622698761
LAO,2019,2554.95638019245
LAO,2018,2459.97874636195
LAO,2017,2351.57441747595
LAO,2016,2234.76098741846
LAO,2015,2121.01339097363
LAO,2014,2006.31195444447
LAO,2013,1890.27861294875
LAO,2012,1774.63585203672
LAO,2011,1666.40086189871
LAO,2010,1564.91068311647
LAO,2009,1463.3379666846
LAO,2008,1381.73754223953
LAO,2007,1301.08597549864
LAO,2006,1228.08927619923
LAO,2005,1148.68153852071
LAO,2004,1088.76034728831
LAO,2003,1038.71192767783
LAO,2002,994.492241963795
LAO,2001,954.123505414634
LAO,2000,917.228038617529
LVA,2024,16376.2565245797
LVA,2023,16229.3844520245
LVA,2022,16421.3748596
LVA,2021,16070.1680032322
LVA,2020,14900.7295718866
LVA,2019,15328.3859933295
LVA,2018,15120.0698171804
LVA,2017,14382.8612727134
LVA,2016,13787.3367440023
LVA,2015,13321.9753140616
LVA,2014,12731.6771959342
LVA,2013,12353.5386135301
LVA,2012,11971.0107466522
LVA,2011,11018.5152421583
LVA,2010,10500.8666223014
LVA,2009,10675.425174228
LVA,2008,12506.6945041012
LVA,2007,12810.0409502542
LVA,2006,11507.4648265658
LVA,2005,10106.2626157732
LVA,2004,8957.23393555082
LVA,2003,8149.00183600084
LVA,2002,7443.22944659059
LVA,2001,6833.4354323157
LVA,2000,6336.38296707987
LBN,2024,5391.22914209501
LBN,2023,5834.63415739394
LBN,2022,5909.03651555028
LBN,2021,5973.41933892988
LBN,2020,6440.82843092922
LBN,2019,8064.04873416236
LBN,2018,8388.7235123835
LBN,2017,8305.57405425721
LBN,2016,8019.1416913426
LBN,2015,7714.1099998804
LBN,2014,7830.4151113336
LBN,2013,8443.53856528784
LBN,2012,8920.8056984673
LBN,2011,8936.20027462737
LBN,2010,8955.54336184707
LBN,2009,8375.48851252821
